"Compound","C_Label","fraction","tissue","time"
"glutamate",1,0.00091073,"spleen",10
"glutamate",2,0,"spleen",10
"glutamate",3,0.001340773,"spleen",10
"glutamate",4,0,"spleen",10
"glutamate",5,0.010682174,"spleen",10
"succinate",1,0.003111513,"spleen",10
"succinate",2,0.001959084,"spleen",10
"succinate",3,0.000275999,"spleen",10
"succinate",4,0.008356786,"spleen",10
"malate",1,0.002316129,"spleen",10
"malate",2,0.001018823,"spleen",10
"malate",3,0.00038582,"spleen",10
"malate",4,0.006487419,"spleen",10
"aspartate",1,0.002289698,"spleen",10
"aspartate",2,0.00025983,"spleen",10
"aspartate",3,0,"spleen",10
"aspartate",4,0.00300076,"spleen",10
"glutamate",1,0.004311803,"liver",10
"glutamate",2,0.000853857,"liver",10
"glutamate",3,0.002514288,"liver",10
"glutamate",4,0,"liver",10
"glutamate",5,0.020922997,"liver",10
"succinate",1,0.008132249,"liver",10
"succinate",2,0.003384224,"liver",10
"succinate",3,0.003103889,"liver",10
"succinate",4,0.011065933,"liver",10
"malate",1,0.011045378,"liver",10
"malate",2,0.002627209,"liver",10
"malate",3,0.003558997,"liver",10
"malate",4,0.005588166,"liver",10
"aspartate",1,0.003367847,"liver",10
"aspartate",2,0.001457814,"liver",10
"aspartate",3,0.001347138,"liver",10
"aspartate",4,0.003246751,"liver",10
"glutamate",1,0.005332329,"kidney",10
"glutamate",2,0.000956034,"kidney",10
"glutamate",3,0.003270808,"kidney",10
"glutamate",4,0,"kidney",10
"glutamate",5,0.008940483,"kidney",10
"succinate",1,0.009379994,"kidney",10
"succinate",2,0.00395814,"kidney",10
"succinate",3,0.001592961,"kidney",10
"succinate",4,0.006189952,"kidney",10
"malate",1,0.007581408,"kidney",10
"malate",2,0.002892408,"kidney",10
"malate",3,0.001746848,"kidney",10
"malate",4,0.004432807,"kidney",10
"aspartate",1,0.005090154,"kidney",10
"aspartate",2,0.002403791,"kidney",10
"aspartate",3,0.001098739,"kidney",10
"aspartate",4,0.004303565,"kidney",10
"glutamate",1,0.001543151,"lung",10
"glutamate",2,0.000164454,"lung",10
"glutamate",3,0.001247421,"lung",10
"glutamate",4,0,"lung",10
"glutamate",5,0.003484636,"lung",10
"succinate",1,0.003964898,"lung",10
"succinate",2,0.002012571,"lung",10
"succinate",3,0.0006722,"lung",10
"succinate",4,0,"lung",10
"malate",1,0.003235091,"lung",10
"malate",2,0.001198585,"lung",10
"malate",3,0.000867401,"lung",10
"malate",4,0.003145279,"lung",10
"aspartate",1,0.000124907,"lung",10
"aspartate",2,0.000610706,"lung",10
"aspartate",3,0.000108076,"lung",10
"aspartate",4,0.001993774,"lung",10
"glutamate",1,0.000263576,"quad",10
"glutamate",2,0,"quad",10
"glutamate",3,0.000615349,"quad",10
"glutamate",4,0,"quad",10
"glutamate",5,0.003156462,"quad",10
"succinate",1,0.00179498,"quad",10
"succinate",2,0.000859228,"quad",10
"succinate",3,4.91697e-05,"quad",10
"succinate",4,0.001508494,"quad",10
"malate",1,0.001409311,"quad",10
"malate",2,0.000835877,"quad",10
"malate",3,0,"quad",10
"malate",4,0.002047922,"quad",10
"aspartate",1,0.005370302,"quad",10
"aspartate",2,0,"quad",10
"aspartate",3,0,"quad",10
"aspartate",4,0.00176317,"quad",10
"glutamate",1,0.003626694,"intestine",10
"glutamate",2,0.000770187,"intestine",10
"glutamate",3,0.005049992,"intestine",10
"glutamate",4,0,"intestine",10
"glutamate",5,0.015838546,"intestine",10
"succinate",1,0.019764502,"intestine",10
"succinate",2,0.015542756,"intestine",10
"succinate",3,0.003733756,"intestine",10
"succinate",4,0.023067474,"intestine",10
"malate",1,0.011927788,"intestine",10
"malate",2,0.008707348,"intestine",10
"malate",3,0.003505974,"intestine",10
"malate",4,0.017696186,"intestine",10
"aspartate",1,0.00242385,"intestine",10
"aspartate",2,0.002848269,"intestine",10
"aspartate",3,0.000490225,"intestine",10
"aspartate",4,0.008711387,"intestine",10
"glutamate",1,0.008386616,"pancreas",10
"glutamate",2,0.003960932,"pancreas",10
"glutamate",3,0.00985856,"pancreas",10
"glutamate",4,0,"pancreas",10
"glutamate",5,0.047907731,"pancreas",10
"succinate",1,0.011793147,"pancreas",10
"succinate",2,0.011943635,"pancreas",10
"succinate",3,0.007317554,"pancreas",10
"succinate",4,0.028397707,"pancreas",10
"malate",1,0.009097507,"pancreas",10
"malate",2,0.009123846,"pancreas",10
"malate",3,0.007446413,"pancreas",10
"malate",4,0.020567886,"pancreas",10
"aspartate",1,0.007165828,"pancreas",10
"aspartate",2,0.005185414,"pancreas",10
"aspartate",3,0.004359996,"pancreas",10
"aspartate",4,0.017386621,"pancreas",10
"glutamate",1,0.001199733,"spleen",10
"glutamate",2,0,"spleen",10
"glutamate",3,0.000843556,"spleen",10
"glutamate",4,0,"spleen",10
"glutamate",5,0.007348351,"spleen",10
"succinate",1,0.002341143,"spleen",10
"succinate",2,0.001609309,"spleen",10
"succinate",3,0.000315655,"spleen",10
"succinate",4,0.005863163,"spleen",10
"malate",1,0.001647365,"spleen",10
"malate",2,0.000778356,"spleen",10
"malate",3,0.000317999,"spleen",10
"malate",4,0.005251724,"spleen",10
"aspartate",1,0.000387243,"spleen",10
"aspartate",2,6.48813e-05,"spleen",10
"aspartate",3,0,"spleen",10
"aspartate",4,0.002155107,"spleen",10
"glutamate",1,0.002575146,"liver",10
"glutamate",2,0.000279075,"liver",10
"glutamate",3,0.001230641,"liver",10
"glutamate",4,0,"liver",10
"glutamate",5,0.011715923,"liver",10
"succinate",1,0.004571072,"liver",10
"succinate",2,0.001702907,"liver",10
"succinate",3,0.00141202,"liver",10
"succinate",4,0.005813646,"liver",10
"malate",1,0.006956146,"liver",10
"malate",2,0.00096195,"liver",10
"malate",3,0.00174916,"liver",10
"malate",4,0.002702676,"liver",10
"aspartate",1,0,"liver",10
"aspartate",2,0,"liver",10
"aspartate",3,0.000165406,"liver",10
"aspartate",4,0.000728226,"liver",10
"glutamate",1,0.004344555,"kidney",10
"glutamate",2,0.000605761,"kidney",10
"glutamate",3,0.002545161,"kidney",10
"glutamate",4,0,"kidney",10
"glutamate",5,0.008211254,"kidney",10
"succinate",1,0.004955736,"kidney",10
"succinate",2,0.002841691,"kidney",10
"succinate",3,0.001010864,"kidney",10
"succinate",4,0.004858865,"kidney",10
"malate",1,0.005766853,"kidney",10
"malate",2,0.002127954,"kidney",10
"malate",3,0.001250651,"kidney",10
"malate",4,0.003942773,"kidney",10
"aspartate",1,0.002989849,"kidney",10
"aspartate",2,0.001782982,"kidney",10
"aspartate",3,0.000947211,"kidney",10
"aspartate",4,0.003672544,"kidney",10
"glutamate",1,0.001595865,"lung",10
"glutamate",2,0,"lung",10
"glutamate",3,0.0006148,"lung",10
"glutamate",4,0,"lung",10
"glutamate",5,0.002859308,"lung",10
"succinate",1,0.001718868,"lung",10
"succinate",2,0.001230094,"lung",10
"succinate",3,3.80874e-05,"lung",10
"succinate",4,0,"lung",10
"malate",1,0.002239572,"lung",10
"malate",2,0.000541182,"lung",10
"malate",3,0.00035821,"lung",10
"malate",4,0.002358303,"lung",10
"aspartate",1,0,"lung",10
"aspartate",2,0.000157041,"lung",10
"aspartate",3,3.46605e-05,"lung",10
"aspartate",4,0.001693382,"lung",10
"glutamate",1,0.00312595,"quad",10
"glutamate",2,0,"quad",10
"glutamate",3,0,"quad",10
"glutamate",4,0,"quad",10
"glutamate",5,0.002677173,"quad",10
"succinate",1,0.002693646,"quad",10
"succinate",2,0.00041848,"quad",10
"succinate",3,1.63872e-05,"quad",10
"succinate",4,0,"quad",10
"malate",1,0.001090966,"quad",10
"malate",2,0.000164019,"quad",10
"malate",3,0,"quad",10
"malate",4,0.001316413,"quad",10
"aspartate",1,0,"quad",10
"aspartate",2,0,"quad",10
"aspartate",3,0,"quad",10
"aspartate",4,0,"quad",10
"glutamate",1,0.002710505,"intestine",10
"glutamate",2,0.00035295,"intestine",10
"glutamate",3,0.00481617,"intestine",10
"glutamate",4,0,"intestine",10
"glutamate",5,0.013202389,"intestine",10
"succinate",1,0.0141671,"intestine",10
"succinate",2,0.011808373,"intestine",10
"succinate",3,0.002625568,"intestine",10
