"Compound","C_Label","fraction","tissue","time","omitFromFit"
"glutamate",1,0.065318716,"diaphragm",90,TRUE
"glutamate",2,0.040806242,"diaphragm",90,TRUE
"glutamate",3,0.004906523,"diaphragm",90,TRUE
"succinate",1,0.067357848,"diaphragm",90,TRUE
"succinate",2,0.027943981,"diaphragm",90,TRUE
"succinate",3,0.003048959,"diaphragm",90,TRUE
"malate",1,0.071204513,"diaphragm",90,TRUE
"malate",2,0.029810734,"diaphragm",90,TRUE
"malate",3,0.003670252,"diaphragm",90,TRUE
"aspartate",1,0.05986513,"diaphragm",90,TRUE
"aspartate",2,0.024144191,"diaphragm",90,TRUE
"aspartate",3,0.003553894,"diaphragm",90,TRUE
"glutamate",1,0.0562964,"diaphragm",90,TRUE
"glutamate",2,0.034517137,"diaphragm",90,TRUE
"glutamate",3,0.004651309,"diaphragm",90,TRUE
"succinate",1,0.052307022,"diaphragm",90,TRUE
"succinate",2,0.024949403,"diaphragm",90,TRUE
"succinate",3,0.003638549,"diaphragm",90,TRUE
"malate",1,0.05803955,"diaphragm",90,TRUE
"malate",2,0.025544478,"diaphragm",90,TRUE
"malate",3,0.004360764,"diaphragm",90,TRUE
"aspartate",1,0.05773854,"diaphragm",90,TRUE
"aspartate",2,0.021906875,"diaphragm",90,TRUE
"aspartate",3,0.004281788,"diaphragm",90,TRUE
"glutamate",1,0.039000843,"gastrocnemius",90,FALSE
"glutamate",2,0.028155321,"gastrocnemius",90,FALSE
"glutamate",3,0.004397472,"gastrocnemius",90,FALSE
"succinate",1,0.034161265,"gastrocnemius",90,FALSE
"succinate",2,0.019849671,"gastrocnemius",90,FALSE
"succinate",3,0.002505346,"gastrocnemius",90,FALSE
"malate",1,0.035267702,"gastrocnemius",90,FALSE
"malate",2,0.018773422,"gastrocnemius",90,FALSE
"malate",3,0.003969017,"gastrocnemius",90,FALSE
"aspartate",1,0.031805439,"gastrocnemius",90,FALSE
"aspartate",2,0.013460938,"gastrocnemius",90,FALSE
"aspartate",3,0.00417783,"gastrocnemius",90,FALSE
"glutamate",1,0.027326257,"gastrocnemius",90,FALSE
"glutamate",2,0.019934458,"gastrocnemius",90,FALSE
"glutamate",3,0.003414112,"gastrocnemius",90,FALSE
"succinate",1,0.027123632,"gastrocnemius",90,FALSE
"succinate",2,0.017661115,"gastrocnemius",90,FALSE
"succinate",3,0.003599792,"gastrocnemius",90,FALSE
"malate",1,0.029586158,"gastrocnemius",90,FALSE
"malate",2,0.015011193,"gastrocnemius",90,FALSE
"malate",3,0.005697408,"gastrocnemius",90,FALSE
"aspartate",1,0.02630967,"gastrocnemius",90,FALSE
"aspartate",2,0.007929284,"gastrocnemius",90,FALSE
"aspartate",3,0.005557157,"gastrocnemius",90,FALSE
"glutamate",1,0.043853034,"heart",90,FALSE
"glutamate",2,0.026555235,"heart",90,FALSE
"glutamate",3,0.002313889,"heart",90,FALSE
"succinate",1,0.043564893,"heart",90,FALSE
"succinate",2,0.017608389,"heart",90,FALSE
"succinate",3,0.001658682,"heart",90,FALSE
"malate",1,0.045807274,"heart",90,FALSE
"malate",2,0.018509153,"heart",90,FALSE
"malate",3,0.002198054,"heart",90,FALSE
"aspartate",1,0.049007543,"heart",90,FALSE
