"Compound","tissue","conc_micromolar"
"aspartate","brown adipose",231.134018781112
"aspartate","brown adipose",268.157662766506
"aspartate","brown adipose",152.788497986793
"aspartate","brown adipose",300.705475073158
"aspartate","colon",898.598513745004
"aspartate","colon",687.523098981035
"aspartate","colon",727.442464690421
"aspartate","colon",653.565234160159
"aspartate","diaphragm",1590.56377073276
"aspartate","diaphragm",1243.6543517914
"aspartate","diaphragm",1497.35609562598
"aspartate","gastrocnemius",556.596217238102
"aspartate","gastrocnemius",662.187053619976
"aspartate","gastrocnemius",155.26076809201
"aspartate","gastrocnemius",463.468104766977
"aspartate","heart",2000.81484462727
"aspartate","heart",1598.29127569798
"aspartate","heart",1513.983361122
"aspartate","heart",762.155428600468
"aspartate","intestine",1708.89974250832
"aspartate","intestine",939.173069295819
"aspartate","intestine",1097.92132640338
"aspartate","intestine",688.219114368372
"aspartate","kidney",1855.60160200353
"aspartate","kidney",1563.97313183489
"aspartate","kidney",1020.9943613957
"aspartate","kidney",1171.34804420687
"aspartate","lung",1208.66815341696
"aspartate","lung",1105.42449209762
"aspartate","lung",779.216647378002
"aspartate","lung",887.555300370471
"aspartate","liver",299.417304014519
"aspartate","liver",343.303398371894
"aspartate","liver",301.165700066352
"aspartate","liver",419.285091819738
"aspartate","pancreas",319.37257527883
"aspartate","pancreas",399.931972009837
"aspartate","pancreas",289.840255191708
"aspartate","pancreas",293.000215699686
"aspartate","quad",420.88501536206
"aspartate","quad",408.542157107825
"aspartate","quad",259.221606132378
"aspartate","quad",212.964382735593
"aspartate","skin",367.959587765691
"aspartate","skin",377.191468517358
"aspartate","skin",235.343364518723
"aspartate","skin",355.702425114484
"aspartate","soleus",3430.37112867713
"aspartate","soleus",3203.83247332913
"aspartate","soleus",1522.7907678885
"aspartate","soleus",1560.08539197756
"aspartate","spleen",2192.14928086524
"aspartate","spleen",2291.16595379978
"aspartate","spleen",2383.39712760903
"aspartate","spleen",1650.99453722954
"aspartate","white adipose",34.8309685203895
"aspartate","white adipose",44.8199676857546
"aspartate","white adipose",23.8777610077438
"aspartate","white adipose",24.6961459068935
"glutamate","brown adipose",1475.64079373988
"glutamate","brown adipose",1325.60558352001
"glutamate","brown adipose",638.543739082943
"glutamate","brown adipose",708.795655119828
"glutamate","colon",4920.01534613881
"glutamate","colon",4910.35265513139
"glutamate","colon",4349.93435459572
"glutamate","colon",4649.24134124699
"glutamate","diaphragm",2674.22525770332
"glutamate","diaphragm",2710.15570837225
"glutamate","diaphragm",1985.49367786983
"glutamate","gastrocnemius",883.687567156254
"glutamate","gastrocnemius",859.54643231766
"glutamate","gastrocnemius",446.157638932205
"glutamate","gastrocnemius",964.730601875597
"glutamate","heart",5455.88704568697
"glutamate","heart",6903.10911034541
"glutamate","heart",2992.22682822712
"glutamate","heart",3536.29773805169
"glutamate","intestine",4806.10632545067
"glutamate","intestine",5136.6338257844
"glutamate","intestine",4332.75584870926
"glutamate","intestine",2615.20662848329
"glutamate","kidney",4330.71920985137
"glutamate","kidney",4369.67471248139
"glutamate","kidney",2456.26521751495
"glutamate","kidney",2787.76311444084
"glutamate","lung",2271.26810427183
"glutamate","lung",2101.84267888003
"glutamate","lung",1481.11964590398
"glutamate","lung",1862.70385128839
"glutamate","liver",1644.77610252216
"glutamate","liver",2149.03494132478
"glutamate","liver",1826.18456075723
"glutamate","liver",1968.37906080994
"glutamate","pancreas",3836.9361113319
"glutamate","pancreas",4201.10796486361
"glutamate","pancreas",3167.33154236194
"glutamate","pancreas",2786.61578213434
"glutamate","quad",696.148982501295
"glutamate","quad",1182.62110236767
"glutamate","quad",701.916376319503
"glutamate","quad",920.663793502997
"glutamate","skin",1216.41043438951
"glutamate","skin",1403.27437132633
"glutamate","skin",943.564518987051
"glutamate","skin",1199.29534547564
"glutamate","soleus",2431.03800180201
"glutamate","soleus",2901.6938124087
"glutamate","soleus",1900.56400839843
